land_area_acres,annual_rainfall_mm,average_temperature_c,soil_type,soil_ph,water_availability,land_status,recommended_crop
14.81,1228,20.4,Loam,6.1,Rain-fed,Barren,Banana
51.03,1632,20.5,Red,5.7,Rain-fed,Degraded,Turmeric
59.34,1165,26.4,Sandy Loam,6.3,Rain-fed,Degraded,Tomato
11.12,932,22.1,Sandy Loam,5.8,Seasonal Canal,Barren,Tomato
46.48,802,27.2,Red,6.7,Rain-fed,Cultivated,Groundnut
58.16,682,17.9,Clay Loam,7.1,Borewell,Barren,Wheat
85.68,1577,23.8,Clay,5.6,Rain-fed,Cultivated,Rice
36.17,1464,29.5,Clay Loam,6.5,Seasonal Canal,Barren,Sugarcane
46.76,1850,22.6,Red,7,Seasonal Canal,Degraded,Turmeric
82.36,1664,32.6,Loam,7.1,Seasonal Canal,Cultivated,Banana
32.15,1067,23.2,Alluvial,7.4,Borewell,Cultivated,Sugarcane
74.75,679,23.5,Black,6.5,Borewell,Fallow,Chickpea
22.71,1098,23.1,Sandy Loam,6.7,Rain-fed,Cultivated,Tomato
16.84,786,15.5,Alluvial,6.2,Borewell,Cultivated,Wheat
53.38,1265,25.8,Loam,6.7,Borewell,Barren,Turmeric
77.09,2476,21.7,Alluvial,7.3,Seasonal Canal,Barren,Banana
87.71,1445,22.4,Alluvial,6,Seasonal Canal,Degraded,Sugarcane
51.26,1067,21.3,Clay Loam,6.9,Rain-fed,Degraded,Soybean
91.93,615,26.5,Red,6.7,Borewell,Fallow,Groundnut
24.71,309,23.5,Sandy Loam,6.2,Borewell,Barren,Millet
76.82,774,19.9,Alluvial,6.1,Rain-fed,Cultivated,Wheat
96.47,684,23.2,Loam,7.3,Borewell,Degraded,Soybean
44.37,819,22.8,Sandy Loam,6.8,Borewell,Cultivated,Tomato
55.84,526,17.2,Alluvial,6.6,Seasonal Canal,Degraded,Wheat
90.64,972,27.7,Clay,5.1,Seasonal Canal,Barren,Rice
14.1,721,23.3,Clay Loam,6.7,Borewell,Cultivated,Soybean
10.6,901,27.6,Black,6.5,Seasonal Canal,Fallow,Cotton
65.69,560,23.6,Alluvial,7.5,Seasonal Canal,Barren,Chickpea
25.62,1312,27.8,Clay,6.6,Rain-fed,Cultivated,Rice
44.87,716,20.2,Loam,6.4,Borewell,Barren,Maize
92.71,1567,30,Clay,6.7,Rain-fed,Degraded,Rice
17.3,598,23.8,Black,7.7,Borewell,Cultivated,Chickpea
69.96,1948,31.8,Clay Loam,6.7,Borewell,Degraded,Sugarcane
54.68,651,24,Sandy Loam,5.6,Borewell,Fallow,Cotton
16.59,951,26.7,Loam,6,Borewell,Barren,Rice
40.97,535,25.1,Loam,6.9,Seasonal Canal,Degraded,Maize
58.78,1808,20.6,Sandy Loam,5.7,Seasonal Canal,Fallow,Turmeric
13.96,842,31,Loam,6.1,Borewell,Fallow,Cotton
46.37,461,34.1,Sandy,7.4,Seasonal Canal,Barren,Millet
88.21,675,17.1,Clay Loam,6.5,Rain-fed,Fallow,Wheat
61.56,1161,26.6,Clay Loam,6.8,Borewell,Barren,Sugarcane
27.18,2135,24.5,Loam,6.8,Rain-fed,Degraded,Banana
69.06,1288,29.1,Loam,7.1,Seasonal Canal,Cultivated,Sugarcane
42.93,1927,33.6,Alluvial,6.1,Seasonal Canal,Barren,Sugarcane
17,1241,28.2,Clay Loam,6.3,Seasonal Canal,Cultivated,Rice
90.49,604,21.3,Clay Loam,7.4,Borewell,Barren,Soybean
90,601,25.2,Loam,5.6,Rain-fed,Fallow,Groundnut
88.53,849,24.5,Sandy Loam,5.8,Seasonal Canal,Degraded,Cotton
88.26,942,23.3,Black,7.5,Rain-fed,Degraded,Cotton
86.54,840,27.4,Red,6.3,Rain-fed,Fallow,Tomato
86,903,26.4,Loam,6.3,Rain-fed,Degraded,Maize
23.07,479,26,Sandy,7.1,Seasonal Canal,Degraded,Millet
35.76,518,21.3,Loam,6.1,Seasonal Canal,Cultivated,Chickpea
18.68,2098,25,Alluvial,5.6,Seasonal Canal,Barren,Banana
